forecast,observed
0.001388862,1.1781
0.000646653,0
0.055957472,0
1.326798181,4.0283
0.005613303,0.8651
0,0
8.725290453,2.3622
0.361381668,1.3613
0.186268557,0.5145
0.09858732,0
0.050197044,0
0.015042661,0.2949
0.031232428,0
0.016002966,0
0.455903391,0
0.714207308,0
0,0
0.711513412,0.0257
1.51301975,0.6118
0.091153405,0.256
0.287272792,0.0134
0.4335506,0
2.944592703,7.6944
1.401322887,1.7733
6.131941372,9.7871
12.10085672,24.4779
24.7929563,13.8264
8.58764894,4.1629
9.386505061,7.3114
2.462183243,10.059
7.859109436,2.0026
17.52635232,5.299
6.174190308,5.3683
6.427229635,1.9704
0.279078314,0.0295
0.66103699,0
