forecast,observed
0.040611211,0
0.002890231,0
0,0
0,0
0.033256821,0
1.654672984,0
8.28E-05,0.0154
0,0
0,0
1.046988259,2.3861
0.610952917,0
0.185236491,0.1236
0.013161287,0
0.008012076,0
4.24003103,0.7207
5.636098854,0.9184
0,0
1.72E-05,0
8.70E-06,0
0.000375837,0
0.003181874,0
0,0
3.69E-05,0
0.000144499,0
0.007721812,0
0.010238328,0
0.557604273,1.1282
0.867880956,2.4867
0.234503629,2.067
0.002058765,0
0.200396562,0
0.325596557,5.0966
0.369438624,0
1.517018306,0.8235
0.755326694,5.5864
1.250866635,0
2.578893662,1.6924
1.35165783,1.9347
0.635897496,0.2556
12.82724726,0.3436
4.579996931,5.3328
4.165245237,5.1784
3.714529268,17.2689
0.813352907,7.6561
7.11E-05,0
4.393263185,0.3331
0.442889119,0
0.70827706,0
4.814525311,8.4475
6.164061182,5.7618
0.000941451,0
0.395784213,1.4371
0,0
8.66E-07,0
0.040002466,0
0.397662584,0
0.001998825,0
0,0
0.774356645,0
0.44853829,0
0.668358171,0
0.053668053,0
1.7191995,0.2003
0.940101321,0
1.924043822,2.1271
0.424863398,0.6024
0.029532746,0
0.032852621,0
0.612926908,0.1635
0.695564182,0.6923
0.285753555,1.1005
0.000129006,0
0,0
0.146302877,0
0.13473907,0
1.62260091,0
2.140561971,1.6547
0.052826136,0
0.556861175,0
0.054333657,0
1.710032701,1.8256
0.148734909,0
0.560710856,0
11.97743354,2.8802
13.14027333,8.8468
7.628998393,12.771
1.569354834,1.2856
5.438774441,0.6398
6.462798995,4.6823
0.643038631,0
2.003796811,2.5506
0.079389745,0
0.712187865,0
4.465315102,10.0247
2.998907413,6.5413
0.060183715,4.1519
0,0
0.000733012,0
0.625193335,0
0.051979617,0
0.003683631,0
0,0
0,0
0.214895878,0
0,0
1.80E-05,0
0.846039583,0
0.002525236,0
0.861229387,0
0.000192482,0
0.069321821,0
0.005299721,0
0.001458138,0
0.114127939,0
9.99E-07,0
0.144316458,0
0.584558271,0
4.255494006,5.5495
0.002655241,0
0.246098226,0
0.001812509,0
0.021310584,0
1.061005743,0
0.390736214,0
0.14406378,0
0.926118175,0.2994
3.410849057,0.9462
0.10146771,0.3518
5.520028368,0.6342
0.945074278,0
1.130939217,0.875
4.52420779,0.1002
8.489330143,0
1.639264819,5.7484
4.129466554,2.6531
19.95505327,6.938
6.135648644,0.4746
5.630251279,0.9313
8.236509807,0.2739
1.751422319,1.227
5.405861197,11.9926
0.210753704,2.954
5.094123003,0.8327
0.136624179,0
0.005396224,0
0.000364966,0
2.329811579,0
0.00036192,0
0.006708271,0
0.000521137,0
0.001900609,0.5931
0,0
0.21084751,0
0.29513086,0
6.98E-05,0
0.084518274,0
0.250582003,0
0,0
0.009552836,0
0.612829112,0.0549
0.479521645,0
12.74606687,6.5631
0.196565418,0
2.725836466,0.3941
0.000131989,1.2388
4.153810596,4.2159
0.103486037,1.7038
0,0
0.209311083,0
0.001997056,0
0.810116482,0
0.003127022,0
0.637073331,0.4166
1.011929797,0.2399
0.842066245,0.0836
1.091217495,0.1433
0.103891721,0.2487
0.008861684,2.6575
3.436659056,4.2555
9.480484369,4.9919
4.559931361,6.7513
2.337553577,11.2417
3.74837134,0.651
1.731621544,3.7285
9.387823027,11.3403
3.376903837,0.2016
2.387896284,1.4934
7.237199703,0.2457
3.964379924,3.9999
0.269961257,1.4686
4.249192116,0
0.547154845,0.7368
2.79E-05,0
0.137355302,0
1.52E-07,0
0,0
0.017530788,0
0.000618499,0
0,0
0.517900282,0
1.746044785,0
1.704514647,0
0.070652131,0
0,0
0.002379333,0
0.00082532,0
0.108998621,0
0.086240477,0
0.468053591,0
0,0
2.30E-05,0
0,0
0.003337202,0
0.466811104,0
0.021506533,0.0987
0.294003903,0
4.211007644,0.9509
0.585369799,0
0,0
0.012122103,0
0.45471399,0
1.929736093,0.0705
2.463795137,5.4494
1.042545739,2.7223
2.595522153,0.7616
12.71975619,2.4874
1.984616069,3.5104
5.61288986,2.9225
2.004935771,2.8533
7.898407122,6.2536
1.07006812,2.4357
5.219257212,1.0177
15.17667605,7.164
9.901796999,11.7886
0.195303157,0.8163
0.691352506,1.4193
0.237682334,2.439
2.449425738,1.7838
3.324713179,4.4958
0.033049402,0
0.036667522,0
0.126725836,0
0,0
0.000149216,0
0,0
0.013011193,0
0.717656884,0.5392
0.093940344,0
0.004433842,0
0.000186737,0
0.014400294,0
0.002368984,0
0.278794478,0
2.077562222,0
0.019208798,0.5578
5.60E-05,0
1.19E-05,0
1.415352523,0.6454
1.75E-05,0
0.00573919,0
0,0
0.001229933,0
1.094235345,0
0.718385109,1.1333
0.249126733,0
0.16869703,0.3858
1.83E-05,0
0.004200651,0
1.211541973,0.2775
1.341369493,0.6723
0.218518417,0.8039
3.366734873,2.7441
0.090019653,0.6827
1.286447579,0.4334
0.004033987,0
1.120590019,1.661
0.483827193,0.9574
4.777868963,0.8335
4.481489105,2.6164
0.459083143,13.2149
0.385338929,1.0009
11.13371097,6.4561
2.157292804,8.0839
4.453441154,5.696
32.9130752,4.2426
22.16657524,18.6197
0.001432818,0
0.706777894,0
9.842513266,0.4895
0.069486882,0
0.001776465,0
8.88E-06,0
0.000115913,0
1.614807691,0.3803
0,1.0752
0,0
3.44E-06,0
0.284026614,0.3578
0.140995895,0
0.000100005,0
0.152329999,0.0989
0.259744888,0.1953
0.017787313,0
0.363432944,0
0.296635977,0
1.251781763,1.7035
0.164871111,0.1796
0.665515488,0
0.05792375,0
0.292609591,0
0,0
0.337269983,0
0.179671852,0
0.020425987,0
0.478139547,0
0.209329597,0.0321
0.61236192,0.3689
0.005003872,0.0264
0.165201828,0
0.002768683,0.1595
1.863254692,0.1106
0.425844677,0.3146
0.000253582,0
0.319356539,0.7528
7.172205911,17.9341
0.526179667,5.3596
11.17938176,5.7804
7.402491146,2.7432
6.192760894,7.8523
11.38045839,14.5935
30.22098467,21.4275
3.689526022,4.0671
6.567099996,11.2818
11.27832442,9.1371
60.97917965,16.4301
1.94E-05,0
0.00047635,0
0.138491428,0
0.053117511,0.4684
0.171005532,0
6.43E-05,0
1.461006165,1.7427
0.229953638,0.8402
9.45E-06,0.4288
0.099933031,0
0,0
7.55E-05,0
1.930781492,0.3973
